id,session,target,fb
2,1,6,4
2,1,6,7
2,1,9,9
2,1,6,11
2,1,9,7
2,1,6,0
2,1,6,6
2,1,9,5
2,1,9,8
2,1,9,10
2,1,6,5
2,1,9,8
2,1,6,8
2,1,9,8
2,1,6,11
2,1,9,6
2,1,9,11
2,1,6,11
2,1,9,7
2,1,6,8
2,1,6,9
2,1,6,5
2,1,9,11
2,1,9,9
2,1,9,8
2,1,6,6
2,1,9,8
2,1,6,8
2,1,9,12
2,1,6,10
2,1,9,8
2,1,6,10
2,1,9,10
2,1,6,12
2,1,9,9
2,1,6,5
2,1,9,9
2,1,6,6
2,1,6,4
2,1,9,8
2,1,6,6
2,1,6,8
2,1,9,7
2,1,9,6
2,1,9,9
2,1,6,9
2,1,6,8
2,1,6,5
2,1,9,7
2,1,9,9
2,1,9,6
2,1,9,10
2,1,6,8
2,1,6,7
2,1,6,5
2,1,6,5
2,1,9,6
2,1,9,5
2,1,9,10
2,1,6,9
2,2,6,5
2,2,6,12
2,2,9,12
2,2,6,9
2,2,9,12
2,2,6,5
2,2,6,10
2,2,9,10
2,2,9,12
2,2,9,6
2,2,6,5
2,2,9,12
2,2,6,8
2,2,9,12
2,2,6,5
2,2,9,6
2,2,9,9
2,2,6,9
2,2,9,12
2,2,6,7
2,2,6,7
2,2,6,6
2,2,9,9
2,2,9,10
2,2,9,12
2,2,6,10
2,2,9,12
2,2,6,7
2,2,9,10
2,2,6,5
2,2,9,6
2,2,6,6
2,2,9,9
2,2,6,9
2,2,9,8
2,2,6,9
2,2,9,6
2,2,6,10
2,2,6,2
2,2,9,12
2,2,6,9
2,2,6,9
2,2,9,8
2,2,9,9
2,2,9,9
2,2,6,8
2,2,6,3
2,2,6,3
2,2,9,8
2,2,9,12
2,2,9,8
2,2,9,10
2,2,6,7
2,2,6,10
2,2,6,5
2,2,6,9
2,2,9,7
2,2,9,7
2,2,9,12
2,2,6,9
2,3,6,8
2,3,6,6
2,3,9,7
2,3,6,6
2,3,9,8
2,3,6,7
2,3,6,7
2,3,9,7
2,3,9,11
2,3,9,7
2,3,6,5
2,3,9,11
2,3,6,6
2,3,9,9
2,3,6,3
2,3,9,7
2,3,9,4
2,3,6,7
2,3,9,7
2,3,6,7
2,3,6,1
2,3,6,7
2,3,9,8
2,3,9,12
2,3,9,6
2,3,6,7
2,3,9,7
2,3,6,6
2,3,9,6
2,3,6,9
2,3,9,4
2,3,6,7
2,3,9,6
2,3,6,7
2,3,9,4
2,3,6,5
2,3,9,7
2,3,6,5
2,3,6,1
2,3,9,10
2,3,9,9
2,3,6,10
2,3,9,2
2,3,6,4
2,3,9,5
2,3,6,9
2,3,9,6
2,3,6,10
2,3,6,6
2,3,9,6
2,3,9,4
2,3,9,6
2,3,6,7
2,3,6,7
2,3,6,11
2,3,6,5
2,3,9,11
2,3,9,9
2,3,9,11
2,3,6,10
4,1,6,7
4,1,6,8
4,1,9,11
4,1,6,7
4,1,9,11
4,1,6,12
4,1,6,7
4,1,9,1
4,1,9,11
4,1,9,12
4,1,6,12
4,1,9,11
4,1,6,12
4,1,9,7
4,1,6,12
4,1,9,11
4,1,9,10
4,1,6,11
4,1,9,12
4,1,6,11
4,1,6,11
4,1,6,7
4,1,9,12
4,1,9,12
4,1,9,12
4,1,6,12
4,1,9,6
4,1,6,8
4,1,9,10
4,1,6,7
4,1,9,7
4,1,6,12
4,1,9,10
4,1,6,8
4,1,9,6
4,1,6,6
4,1,9,8
4,1,6,4
4,1,6,12
4,1,9,12
4,1,6,10
4,1,6,11
4,1,9,11
4,1,9,6
4,1,9,10
4,1,6,11
4,1,6,0
4,1,6,7
4,1,9,9
4,1,9,9
4,1,9,4
4,1,9,7
4,1,6,11
4,1,6,11
4,1,6,10
4,1,6,12
4,1,9,10
4,1,9,12
4,1,9,7
4,1,6,12
4,2,6,6
4,2,6,9
4,2,9,9
4,2,6,6
4,2,9,10
4,2,6,10
4,2,6,8
4,2,9,12
4,2,9,10
4,2,9,4
4,2,6,8
4,2,9,6
4,2,6,6
4,2,9,8
4,2,6,6
4,2,9,10
4,2,9,8
4,2,6,0
4,2,9,11
4,2,6,8
4,2,6,11
4,2,6,8
4,2,9,12
4,2,9,11
4,2,9,10
4,2,6,9
4,2,9,12
4,2,6,9
4,2,9,6
4,2,6,9
4,2,9,6
4,2,6,8
4,2,9,12
4,2,6,9
4,2,9,12
4,2,6,9
4,2,9,6
4,2,6,6
4,2,6,1
4,2,9,8
4,2,6,5
4,2,6,6
4,2,9,11
4,2,9,9
4,2,9,9
4,2,6,12
4,2,6,9
4,2,6,6
4,2,9,10
4,2,9,8
4,2,9,9
4,2,9,12
4,2,6,6
4,2,6,9
4,2,6,9
4,2,6,5
4,2,9,10
4,2,9,9
4,2,9,10
4,2,6,6
4,3,6,2
4,3,6,11
4,3,9,12
4,3,6,8
4,3,9,12
4,3,6,6
4,3,6,12
4,3,9,9
4,3,9,11
4,3,9,12
4,3,6,3
4,3,9,12
4,3,6,8
4,3,9,9
4,3,6,7
