id,session,target,fb
8,1,6,7
8,1,6,10
8,1,9,6
8,1,6,6
8,1,9,10
8,1,6,8
8,1,6,7
8,1,9,11
8,1,9,8
8,1,9,12
8,1,6,8
8,1,9,10
8,1,6,11
8,1,9,3
8,1,6,6
8,1,9,11
8,1,9,12
8,1,6,8
8,1,9,10
8,1,6,11
8,1,6,4
8,1,6,8
8,1,9,10
8,1,9,8
8,1,9,1
8,1,6,8
8,1,9,8
8,1,6,11
8,1,9,11
8,1,6,12
8,1,9,4
8,1,6,11
8,1,9,12
8,1,6,10
8,1,9,8
8,1,6,10
8,1,9,12
8,1,6,10
8,1,6,6
8,1,9,7
8,1,6,7
8,1,6,6
8,1,9,1
8,1,9,10
8,1,9,6
8,1,6,10
8,1,6,10
8,1,6,7
8,1,9,7
8,1,9,12
8,1,9,4
8,1,9,7
8,1,6,4
8,1,6,7
8,1,6,10
8,1,6,10
8,1,9,11
8,1,9,10
8,1,9,12
8,1,6,8
8,2,6,7
8,2,6,4
8,2,9,5
8,2,6,4
8,2,9,7
8,2,6,12
8,2,6,10
8,2,9,6
8,2,9,10
8,2,9,10
8,2,6,4
8,2,9,9
8,2,6,6
8,2,9,6
8,2,6,12
8,2,9,9
8,2,9,11
8,2,6,9
8,2,9,12
8,2,6,4
8,2,6,7
8,2,6,4
8,2,9,11
8,2,9,7
8,2,9,9
8,2,6,9
8,2,9,7
8,2,6,9
8,2,9,5
8,2,6,1
8,2,9,6
8,2,6,8
8,2,9,10
8,2,6,9
8,2,9,6
8,2,6,11
8,2,9,10
8,2,6,6
8,2,6,7
8,2,9,6
8,2,6,6
8,2,6,6
8,2,9,11
8,2,9,8
8,2,9,7
8,2,6,8
8,2,6,8
8,2,6,11
8,2,9,7
8,2,9,10
8,2,9,11
8,2,9,10
8,2,6,10
8,2,6,10
8,2,6,12
8,2,6,12
8,2,9,10
8,2,9,11
8,2,9,11
8,2,6,8
8,3,6,5
8,3,6,5
8,3,9,7
8,3,6,6
8,3,9,7
8,3,6,9
8,3,6,4
8,3,9,9
8,3,9,7
8,3,9,8
8,3,6,6
8,3,9,10
8,3,6,5
8,3,9,11
8,3,6,8
8,3,9,7
8,3,9,8
8,3,6,8
8,3,9,11
8,3,6,5
8,3,6,7
8,3,6,6
8,3,9,9
8,3,9,9
8,3,9,4
8,3,6,8
8,3,9,8
8,3,6,8
8,3,9,12
8,3,6,9
8,3,9,8
8,3,6,9
8,3,9,8
8,3,6,7
8,3,9,10
8,3,6,7
8,3,9,8
8,3,6,4
8,3,6,8
8,3,9,8
8,3,6,6
8,3,6,7
8,3,9,8
8,3,9,10
8,3,9,11
8,3,6,8
8,3,6,8
8,3,6,8
8,3,9,9
8,3,9,10
8,3,9,8
8,3,9,7
8,3,6,11
8,3,6,7
8,3,6,6
8,3,6,6
8,3,9,9
8,3,9,8
8,3,9,10
8,3,6,5
