id,session,run,trial_in_run,ctrl,cond,fb,rating,conf,trial,target,fb_2_target,rating_clean,rating_2_target,rating_2_fb
2,1,1,1,0,1,4,6,0,1,6,-2,6,0,2
2,1,1,2,0,1,7,5,2,2,6,1,5,-1,-2
2,1,1,3,0,2,9,9,0,3,9,0,9,0,0
2,1,1,4,0,1,11,6,2,4,6,5,6,0,-5
2,1,1,5,0,2,7,8,2,5,9,-2,8,-1,1
2,1,1,6,0,1,0,7,1,6,6,-6,7,1,7
2,1,1,7,0,1,6,6,1,7,6,0,6,0,0
2,1,1,8,1,2,5,11,3,8,9,-4,NA,NA,NA
2,1,1,9,0,2,8,8,2,9,9,-1,8,-1,0
2,1,1,10,0,2,10,9,3,10,9,1,9,0,-1
2,1,2,1,0,1,5,7,3,11,6,-1,7,1,2
2,1,2,2,0,2,8,8,4,12,9,-1,8,-1,0
2,1,2,3,0,1,8,6,3,13,6,2,6,0,-2
2,1,2,4,0,2,8,8,4,14,9,-1,8,-1,0
2,1,2,5,0,1,11,6,2,15,6,5,6,0,-5
2,1,2,6,0,2,6,9,2,16,9,-3,9,0,3
2,1,2,7,0,2,11,9,1,17,9,2,9,0,-2
2,1,2,8,0,1,11,6,1,18,6,5,6,0,-5
2,1,2,9,0,2,7,10,0,19,9,-2,10,1,3
2,1,2,10,1,1,8,1,6,20,6,2,NA,NA,NA
2,1,3,1,0,1,9,6,1,21,6,3,6,0,-3
2,1,3,2,0,1,5,7,2,22,6,-1,7,1,2
2,1,3,3,0,2,11,8,2,23,9,2,8,-1,-3
2,1,3,4,0,2,9,9,3,24,9,0,9,0,0
2,1,3,5,0,2,8,8,5,25,9,-1,8,-1,0
2,1,3,6,0,1,6,6,3,26,6,0,6,0,0
2,1,3,7,1,2,8,8,4,27,9,-1,NA,NA,NA
2,1,3,8,0,1,8,7,5,28,6,2,7,1,-1
2,1,3,9,0,2,12,9,6,29,9,3,9,0,-3
2,1,3,10,0,1,10,-1,5,30,6,4,-1,-7,-11
2,1,4,1,0,2,8,10,4,31,9,-1,10,1,2
2,1,4,2,1,1,10,11,2,32,6,4,NA,NA,NA
2,1,4,3,0,2,10,8,4,33,9,1,8,-1,-2
2,1,4,4,0,1,12,8,4,34,6,6,8,2,-4
2,1,4,5,0,2,9,9,3,35,9,0,9,0,0
2,1,4,6,0,1,5,8,2,36,6,-1,8,2,3
2,1,4,7,0,2,9,9,5,37,9,0,9,0,0
2,1,4,8,0,1,6,6,3,38,6,0,6,0,0
2,1,4,9,0,1,4,7,4,39,6,-2,7,1,3
2,1,4,10,0,2,8,9,6,40,9,-1,9,0,1
2,1,5,1,0,1,6,7,3,41,6,0,7,1,1
2,1,5,2,0,1,8,6,4,42,6,2,6,0,-2
2,1,5,3,1,2,7,8,7,43,9,-2,NA,NA,NA
2,1,5,4,0,2,6,9,4,44,9,-3,9,0,3
2,1,5,5,0,2,9,8,2,45,9,0,8,-1,-1
2,1,5,6,0,1,9,6,3,46,6,3,6,0,-3
2,1,5,7,0,1,8,-1,3,47,6,2,-1,-7,-9
2,1,5,8,0,1,5,6,2,48,6,-1,6,0,1
2,1,5,9,0,2,7,9,4,49,9,-2,9,0,2
2,1,5,10,0,2,9,8,3,50,9,0,8,-1,-1
2,1,6,1,0,2,6,8,5,51,9,-3,8,-1,2
2,1,6,2,0,2,10,10,4,52,9,1,10,1,0
2,1,6,3,0,1,8,8,4,53,6,2,8,2,0
2,1,6,4,0,1,7,6,3,54,6,1,6,0,-1
2,1,6,5,1,1,5,10,2,55,6,-1,NA,NA,NA
2,1,6,6,0,1,5,5,4,56,6,-1,5,-1,0
2,1,6,7,0,2,6,10,7,57,9,-3,10,1,4
2,1,6,8,0,2,5,9,3,58,9,-4,9,0,4
2,1,6,9,0,2,10,10,3,59,9,1,10,1,0
2,1,6,10,0,1,9,5,3,60,6,3,5,-1,-4
2,2,7,1,0,1,5,6,0,61,6,-1,6,0,1
2,2,7,2,0,1,12,7,2,62,6,6,7,1,-5
2,2,7,3,0,2,12,9,0,63,9,3,9,0,-3
2,2,7,4,0,1,9,5,1,64,6,3,5,-1,-4
2,2,7,5,0,2,12,11,5,65,9,3,11,2,-1
2,2,7,6,0,1,5,9,4,66,6,-1,9,3,4
2,2,7,7,0,1,10,7,4,67,6,4,7,1,-3
2,2,7,8,1,2,10,6,3,68,9,1,NA,NA,NA
2,2,7,9,0,2,12,9,2,69,9,3,9,0,-3
2,2,7,10,0,2,6,10,2,70,9,-3,10,1,4
2,2,8,1,0,1,5,6,2,71,6,-1,6,0,1
2,2,8,2,0,2,12,10,3,72,9,3,10,1,-2
2,2,8,3,0,1,8,7,5,73,6,2,7,1,-1
2,2,8,4,0,2,12,9,2,74,9,3,9,0,-3
2,2,8,5,0,1,5,5,3,75,6,-1,5,-1,0
2,2,8,6,0,2,6,12,6,76,9,-3,12,3,6
2,2,8,7,0,2,9,11,6,77,9,0,11,2,2
2,2,8,8,0,1,9,6,3,78,6,3,6,0,-3
2,2,8,9,0,2,12,9,2,79,9,3,9,0,-3
2,2,8,10,1,1,7,9,9,80,6,1,NA,NA,NA
2,2,9,1,0,1,7,6,4,81,6,1,6,0,-1
2,2,9,2,0,1,6,6,4,82,6,0,6,0,0
2,2,9,3,0,2,9,9,2,83,9,0,9,0,0
2,2,9,4,0,2,10,10,3,84,9,1,10,1,0
2,2,9,5,0,2,12,9,5,85,9,3,9,0,-3
2,2,9,6,0,1,10,7,4,86,6,4,7,1,-3
2,2,9,7,1,2,12,11,8,87,9,3,NA,NA,NA
2,2,9,8,0,1,7,7,4,88,6,1,7,1,0
