"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"1",2,2,"CS",1,4,4,-10.9541666666667,45
"2",2,3,"CS-US",1,5,1,-2.45512500000001,55
"3",2,4,"CS",1,4,4,-12.038625,70
"4",2,5,"CS",2,3,3,3.36562500000001,88
"5",2,6,"CS-US",1,5,1,-2.73279166666667,60
"6",2,8,"CS-US",1,5,1,-3.48983333333333,28
"7",2,9,"CS",1,4,4,3.03066666666666,61
"8",2,10,"CS-US",1,5,1,6.611125,41
"9",2,11,"CS",1,4,4,-1.89945833333334,50
"10",2,12,"CS-US",1,5,1,3.00675000000001,19
"11",2,13,"CS-US",2,6,2,9.91491666666666,4
"12",2,14,"CS-US",3,7,3,3.75129166666667,0
"13",2,15,"CS",1,4,4,2.98962499999999,56
"14",2,16,"CS-US",1,5,1,0.792041666666659,50
"15",2,17,"CS",1,4,4,3.56091666666666,60
"16",2,18,"CS-US",1,5,1,3.64941666666667,55
"17",2,19,"CS",1,4,4,0.244125,66
"18",2,20,"CS-US",1,5,1,5.22604166666667,41
"19",2,21,"CS",1,4,4,6.00299999999999,70
"20",2,22,"CS",2,3,3,8.556875,77
"21",2,23,"CS",3,2,2,11.5798333333333,100
"22",2,24,"CS",4,1,1,-7.03766666666667,100
"23",2,25,"CS-US",1,5,1,-1.77933333333333,65
"24",2,26,"CS",1,4,4,-7.14045833333334,70
"25",2,27,"CS-US",1,5,1,-2.48587500000001,40
"26",2,28,"CS",1,4,4,0.330500000000002,50
"27",2,29,"CS",2,3,3,3.18895833333334,60
"28",2,30,"CS-US",1,5,1,7.78325,48
"29",2,31,"CS",1,4,4,13.649875,70
"30",2,32,"CS",2,3,3,6.255,80
"31",2,33,"CS-US",1,5,1,11.7223333333333,60
"32",2,34,"CS",1,4,4,9.66920833333332,60
"33",2,35,"CS",2,3,3,6.59533333333334,89
"34",2,36,"CS",3,2,2,0.799916666666672,100
"35",2,37,"CS-US",1,5,1,-4.57783333333333,100
"36",2,38,"CS",1,4,4,-3.71970833333334,75
"37",2,39,"CS",2,3,3,-0.179666666666659,100
"38",2,40,"CS",3,2,2,-1.99137500000001,100
"39",2,41,"CS",4,1,1,-6.90775,5
"40",2,42,"CS-US",1,5,1,5.01458333333333,5
"41",2,43,"CS-US",2,6,2,2.75512499999999,0
"42",2,44,"CS",1,4,4,2.034,35
"43",2,45,"CS-US",1,5,1,-8.53354166666667,20
"44",2,46,"CS",1,4,4,2.23308333333333,0
"45",2,47,"CS-US",1,5,1,5.986,40
"46",2,48,"CS",1,4,4,-0.722958333333329,60
"47",2,49,"CS-US",1,5,1,5.07345833333333,60
"48",2,50,"CS-US",2,6,2,-1.10533333333333,30
"49",2,51,"CS",1,4,4,8.86412500000001,65
"50",2,52,"CS",2,3,3,-4.65504166666667,75
"51",2,53,"CS",3,2,2,4.88304166666667,90
"52",2,54,"CS-US",1,5,1,4.58970833333333,70
"53",2,55,"CS",1,4,4,3.59654166666667,30
"54",2,56,"CS",2,3,3,9.39737499999999,85
"55",2,57,"CS",3,2,2,1.94541666666666,100
"56",2,58,"CS",4,1,1,6.18962500000001,100
"57",2,59,"CS-US",1,5,1,-6.00320833333333,70
"58",2,60,"CS-US",2,6,2,4.09541666666666,15
"59",2,61,"CS-US",3,7,3,4.29012500000001,10
"60",2,62,"CS-US",4,8,4,6.75995833333333,40
"61",2,63,"CS",1,4,4,6.35533333333333,21
"62",2,64,"CS",2,3,3,7.91979166666666,73
"63",2,65,"CS-US",1,5,1,-0.138416666666659,50
"64",2,66,"CS",1,4,4,11.04675,60
"65",2,67,"CS-US",1,5,1,3.38566666666667,60
"66",2,68,"CS-US",2,6,2,4.39354166666667,30
"67",2,69,"CS-US",3,7,3,3.62733333333334,10
"68",2,70,"CS",1,4,4,4.244875,40
"69",2,71,"CS-US",1,5,1,9.68758333333334,60
"70",2,72,"CS-US",2,6,2,3.22429166666667,35
"71",2,73,"CS",1,4,4,6.61499999999999,70
"72",2,74,"CS",2,3,3,5.05904166666666,100
"73",2,75,"CS",3,2,2,-8.621,100
