wordT1,wordT2,t2type,lag
avion,couteau,t,4
porte,chaise,t,2
arbre,agneau,t,4
crayon,chien,t,2
laveur,grison,n,4
bottin,boucan,a,4
cônes,tanin,n,2
rebord,sole,n,2
tunique,dédain,n,4
râble,plaie,n,4
rivet,segment,n,4
diode,soie,n,2
guets,piqûre,n,4
cuivre,menuet,n,4
centre,lacets,n,2
coque,atout,n,2
géode,curseur,n,4
anse,douleur,n,2
rabats,câble,n,4
sérum,bottier,n,2
houx,jarres,n,4
truite,état,n,2
fadeur,platane,n,4
brosse,golfes,n,2
manant,bolets,n,2
matons,fièvre,n,2
piquet,carpe,n,4
raideur,boîtier,n,2
callot,volets,n,4
coupon,saleté,n,2
cube,tuiles,n,4
genou,répit,n,2
monceau,prison,n,4
pagode,muret,n,2
callot,fécule,n,2
géode,sida,n,4
piquet,corvée,n,4
coupon,foutre,n,2
laveur,anse,n,4
tunique,leveur,n,2
cuivre,toxine,n,2
genou,boulier,n,4
râble,procès,n,4
cônes,trauma,n,4
diode,sofa,n,2
coque,bisous,n,4
bottin,haine,n,2
centre,doublon,n,4
rebord,lacune,n,2
anse,rabats,n,2
rabats,façade,n,4
fadeur,rumeur,n,2
manant,étron,n,2
sérum,acnés,n,4
houx,malice,n,2
matons,asiles,n,4
pagode,sorte,n,4
monceau,baudet,n,2
cube,festin,n,4
raideur,versos,n,2
brosse,gêneur,n,2
rivet,faute,n,2
truite,lunes,n,4
guets,bordel,n,4
houx,câble,n,4
monceau,toxine,n,2
rivet,prison,n,4
cuivre,anse,n,4
rabats,curseur,n,4
manant,dédain,n,4
raideur,golfes,n,2
guets,état,n,2
truite,bolets,n,2
diode,doublon,n,4
géode,foutre,n,2
anse,menuet,n,4
tunique,piqûre,n,4
centre,bisous,n,4
fadeur,boîtier,n,2
pagode,boucan,n,4
genou,douleur,n,2
cônes,tuiles,n,4
sérum,fécule,n,2
laveur,atout,n,2
rebord,procès,n,4
brosse,bottier,n,2
bottin,gêneur,n,2
callot,lacune,n,2
matons,asiles,n,4
coque,jarres,n,4
coupon,volets,n,4
râble,corvée,n,4
piquet,saleté,n,2
cube,acnés,n,4
anse,segment,n,4
bottin,carpe,n,4
houx,sole,n,2
piquet,tanin,n,2
truite,répit,n,2
cube,muret,n,2
râble,rabats,n,2
cuivre,trauma,n,4
fadeur,festin,n,4
cônes,platane,n,4
pagode,leveur,n,2
genou,fièvre,n,2
géode,haine,n,2
rabats,lunes,n,4
callot,soie,n,2
coque,plaie,n,4
centre,lacets,n,2
raideur,baudet,n,2
rivet,rumeur,n,2
monceau,boulier,n,4
sérum,sofa,n,2
tunique,bordel,n,4
diode,étron,n,2
matons,sorte,n,4
guets,versos,n,2
laveur,façade,n,4
brosse,malice,n,2
coupon,grison,n,4
manant,sida,n,4
rebord,faute,n,2
