word,t2type,lag
grison,n,3
boucan,a,3
tanin,n,1
sole,n,1
dédain,a,3
plaie,a,3
segment,n,3
soie,a,1
piqûre,a,3
menuet,n,3
lacets,n,1
atout,a,1
curseur,n,3
douleur,a,1
câble,n,3
bottier,n,1
jarres,n,3
état,n,1
platane,n,3
golfes,n,1
bolets,n,1
fièvre,a,1
carpe,n,3
boîtier,n,1
volets,n,3
saleté,a,1
tuiles,n,3
répit,a,1
prison,a,3
muret,n,1
fécule,n,1
sida,a,3
corvée,a,3
foutre,a,1
anse,n,3
leveur,n,1
toxine,a,1
boulier,n,3
procès,a,3
trauma,a,3
sofa,a,1
bisous,a,3
haine,a,1
doublon,n,3
lacune,a,1
rabats,n,1
façade,n,3
rumeur,a,1
étron,n,1
acnés,a,3
malice,a,1
asiles,a,3
sorte,n,3
baudet,n,1
festin,a,3
versos,n,1
gêneur,a,1
faute,a,1
lunes,a,3
bordel,a,3
